Sex,Year,Estimated incidence rate of new HIV infection per 1 000 uninfected population,Estimated number of annual new HIV infections,Estimated number of people living with HIV
Female,2005,2.23,1100,4700
Male,2005,0.54,500,2100
Female,2006,2.15,1100,4800
Male,2006,0.52,500,2300
Female,2007,2.03,1100,4900
Male,2007,0.49,500,2500
Female,2008,1.98,1100,5000
Male,2008,0.48,500,2700
Female,2009,1.94,1100,5200
Male,2009,0.47,500,2900
Female,2010,1.75,1000,5300
Male,2010,0.42,500,3100
Female,2011,1.64,960,5300
Male,2011,0.4,500,3200
Female,2012,1.55,930,5300
Male,2012,0.37,500,3300
Female,2013,1.45,900,5300
Male,2013,0.35,500,3400
Female,2014,1.41,900,5300
Male,2014,0.34,500,3400
Female,2015,1.33,870,5300
Male,2015,0.32,500,3400
Female,2016,1.27,850,5300
Male,2016,0.3,500,3400
Female,2017,1.19,820,5300
Male,2017,0.28,500,3400
Female,2018,1.11,780,5200
Male,2018,0.26,200,3400
Female,2019,1.01,730,5000
Male,2019,0.24,200,3400
Female,1990,0.11,100,100
Male,1990,0.02,100,100
Female,1991,0.15,100,100
Male,1991,0.02,100,100
Female,1992,0.23,100,100
Male,1992,0.02,100,100
Female,1993,0.3,100,100
Male,1993,0.04,100,100
Female,1994,0.43,100,100
Male,1994,0.06,100,100
Female,1995,0.52,100,100
Male,1995,0.07,100,100
Female,1996,0.65,100,100
Male,1996,0.09,100,100
Female,1997,0.73,100,100
Male,1997,0.1,100,100
Female,1998,0.81,100,100
Male,1998,0.11,100,100
Female,1999,0.85,100,200
Male,1999,0.11,100,100
Female,2000,0.84,100,200
Male,2000,0.11,100,100
Female,2001,0.83,100,200
Male,2001,0.1,100,100
Female,2002,0.78,100,200
Male,2002,0.1,100,100
Female,2003,0.72,100,200
Male,2003,0.09,100,100
Female,2004,0.68,100,200
Male,2004,0.08,100,100
Female,2005,0.67,100,200
Male,2005,0.09,100,100
Female,2006,0.65,100,500
Male,2006,0.09,100,100
Female,2007,0.65,100,500
Male,2007,0.08,100,200
Female,2008,0.65,100,500
Male,2008,0.09,100,200
Female,2009,0.63,100,500
Male,2009,0.09,100,200
Female,2010,0.63,100,500
Male,2010,0.09,100,500
Female,2011,0.61,100,500
Male,2011,0.09,100,500
Female,2012,0.59,100,500
Male,2012,0.08,100,500
Female,2013,0.58,100,500
Male,2013,0.07,100,500
Female,2014,0.58,100,500
Male,2014,0.08,100,500
Female,2015,0.58,100,500
Male,2015,0.08,100,500
Female,2016,0.57,100,510
Male,2016,0.08,100,500
Female,2017,0.55,100,540
Male,2017,0.08,100,500
Female,2018,0.55,100,570
Male,2018,0.07,100,500
Female,2019,0.54,100,580
Male,2019,0.07,100,500
Female,1990,0.51,100,100
Male,1990,0.23,100,100
Female,1991,0.72,100,100
Male,1991,0.34,100,100
Female,1992,1.04,100,100
Male,1992,0.46,100,100
Female,1993,1.45,100,200
Male,1993,0.63,100,100
Female,1994,2.04,200,500
Male,1994,0.87,100,100
Female,1995,2.71,200,500
Male,1995,1.16,100,200
Female,1996,3.38,500,500
Male,1996,1.44,100,200
Female,1997,3.96,500,500
Male,1997,1.67,200,200
Female,1998,4.34,500,600
Male,1998,1.84,200,500
Female,1999,4.43,500,680
Male,1999,1.89,200,500
Female,2000,4.16,500,720
Male,2000,1.78,200,500
Female,2001,3.94,500,730
Male,2001,1.69,200,500
Female,2002,3.56,500,720
Male,2002,1.53,200,500
Female,2003,3.21,500,700
Male,2003,1.39,100,500
Female,2004,2.9,500,690
Male,2004,1.25,100,500
Female,2005,2.67,500,680
Male,2005,1.15,100,500
Female,2006,2.5,200,690
Male,2006,1.07,100,500
Female,2007,2.41,200,730
Male,2007,1.03,100,500
Female,2008,2.26,200,780
Male,2008,0.97,100,500
Female,2009,2.2,200,840
Male,2009,0.94,100,550
Female,1990,8.22,500,550
Female,1990,19.91,23000,46000
Female,1990,11.05,1200,2300
Female,1990,0.01,100,100
Female,1990,22.49,10000,24000
Female,1990,0.01,100,100
Female,1990,4.39,3500,7100
Female,1990,5.69,500,860
Female,1990,5.6,2000,4300
Female,1990,0.1,100,100
Female,1990,4.44,8400,13000
Female,1990,1.23,500,780
Female,1990,0.03,100,100
Female,1990,14.36,12000,38000
Female,1990,8.45,11000,25000
Female,1990,27.73,10000,23000
Female,1990,52.82,25000,53000
Female,1991,16.46,780,1200
Female,1991,23.38,27000,60000
Female,1991,15.82,1800,3300
Female,1991,0.01,100,100
Female,1991,24.46,11000,27000
Female,1991,0.01,100,100
Female,1991,5.66,4700,9600
Female,1991,7.99,670,1200
Female,1991,6.22,2200,5000
Female,1991,0.11,100,100
Female,1991,7.58,15000,24000
Female,1991,1.47,500,940
Female,1991,0.04,100,100
Female,1991,12.66,11000,35000
Female,1991,8.96,12000,28000
Female,1991,28.52,11000,27000
Female,1991,57.72,27000,64000
Female,1992,28.88,1400,2300
Female,1992,25.52,31000,72000
Female,1992,21.89,2500,4700
Female,1992,0.01,100,100
Female,1992,25.62,12000,30000
Female,1992,0.01,100,100
Female,1992,7.13,6000,13000
Female,1992,10.8,910,1800
Female,1992,6.79,2400,5500
Female,1992,0.13,100,200
Female,1992,12.05,24000,41000
Female,1992,1.64,510,1100
Female,1992,0.04,100,200
Female,1992,11.72,10000,33000
Female,1992,9.24,13000,32000
Female,1992,28.39,11000,29000
Female,1992,57.71,28000,72000
Female,1993,43.81,2100,3800
Female,1993,25.21,32000,81000
Female,1993,28.76,3200,6400
Female,1993,0.01,100,100
Female,1993,25.48,12000,31000
Female,1993,0.01,100,100
Female,1993,8.66,7400,16000
Female,1993,14.2,1200,2400
Female,1993,7.39,2500,5900
Female,1993,0.15,100,200
Female,1993,17.88,36000,64000
Female,1993,1.88,580,1200
Female,1993,0.06,100,200
Female,1993,10.98,10000,33000
Female,1993,9.24,13000,34000
Female,1993,26.75,11000,30000
Female,1993,54.64,27000,75000
Female,1994,57.76,2800,5500
Female,1994,22.9,30000,85000
Female,1994,36.32,4100,8400
Female,1994,0.01,100,100
Female,1994,24.7,11000,32000
Female,1994,0.02,100,100
Female,1994,10.47,9100,20000
Female,1994,17.66,1500,3100
Female,1994,7.07,2300,6100
Female,1994,0.16,100,200
Female,1994,24.07,48000,93000
Female,1994,2.01,620,1400
Female,1994,0.07,100,200
Female,1994,10.68,10000,34000
Female,1994,8.98,13000,36000
Female,1994,25.79,11000,31000
Female,1994,49.62,26000,76000
Female,1995,67.7,3300,7200
Female,1995,19.87,27000,84000
Female,1995,42.59,4700,10000
Female,1995,0.01,100,100
Female,1995,23.39,11000,32000
Female,1995,0.04,100,100
Female,1995,12.2,11000,24000
Female,1995,20.47,1800,3900
Female,1995,7.04,2400,6400
Female,1995,0.17,100,200
Female,1995,29.96,60000,120000
Female,1995,2.07,640,1500
Female,1995,0.09,200,500
Female,1995,10,10000,36000
Female,1995,8.59,13000,37000
Female,1995,23.4,10000,31000
Female,1995,42.91,23000,73000
Female,1996,70.63,3500,8500
Female,1996,16.25,23000,78000
Female,1996,46.73,5100,12000
Female,1996,0.01,100,100
Female,1996,21.41,10000,32000
Female,1996,0.05,100,100
Female,1996,13.83,12000,28000
Female,1996,22,1900,4500
Female,1996,6.81,2500,7000
Female,1996,0.19,100,200
Female,1996,34.51,69000,150000
Female,1996,2.14,680,1700
Female,1996,0.1,200,500
Female,1996,9.77,10000,38000
Female,1996,8.16,13000,37000
Female,1996,21.56,9700,30000
Female,1996,37.15,21000,68000
Female,1997,69.29,3500,9300
Female,1997,13.48,20000,71000
Female,1997,48.61,5300,13000
Female,1997,0.01,100,100
Female,1997,20.18,9900,32000
Female,1997,0.11,100,100
Female,1997,15.36,13000,32000
Female,1997,21.92,2000,5000
Female,1997,6.18,2500,7600
Female,1997,0.2,100,200
Female,1997,37.57,76000,180000
Female,1997,2.13,700,1800
Female,1997,0.11,200,500
Female,1997,9.4,10000,41000
Female,1997,7.62,12000,38000
Female,1997,20.15,9300,29000
Female,1997,31.69,19000,64000
Female,1998,65.04,3400,9700
Female,1998,11.18,17000,65000
Female,1998,47.17,5100,14000
Female,1998,0.02,100,100
Female,1998,18.62,9400,32000
Female,1998,0.2,100,100
Female,1998,16.67,14000,36000
Female,1998,20.49,1900,5100
Female,1998,5.6,2500,8200
Female,1998,0.19,100,500
Female,1998,39.52,82000,200000
Female,1998,2.09,720,2000
Female,1998,0.12,200,500
Female,1998,9.05,10000,44000
Female,1998,7,12000,37000
Female,1998,18.84,9000,29000
Female,1998,28.02,17000,60000
Female,1999,61.57,3300,9700
Female,1999,9.66,16000,60000
Female,1999,44.62,4800,13000
Female,1999,0.02,100,100
Female,1999,17.2,9000,32000
Female,1999,0.31,100,100
Female,1999,17.4,15000,39000
Female,1999,18.38,1700,5100
Female,1999,5.13,2500,8700
Female,1999,0.2,100,500
Female,1999,40.17,86000,220000
Female,1999,2.08,750,2100
Female,1999,0.12,200,500
Female,1999,8.83,10000,47000
Female,1999,6.59,11000,38000
Female,1999,17.74,8700,29000
Female,1999,24.72,16000,57000
Female,2000,57.26,3200,9500
Female,2000,8.44,14000,58000
Female,2000,40.88,4400,13000
Female,2000,0.02,100,100
Female,2000,15.73,8500,33000
Female,2000,0.42,100,100
Female,2000,18.18,16000,42000
Female,2000,16.42,1600,4900
Female,2000,4.58,2500,9100
Female,2000,0.19,100,500
Female,2000,40.37,89000,240000
Female,2000,1.99,750,2200
Female,2000,0.12,200,500
Female,2000,8.53,10000,50000
Female,2000,6.15,11000,38000
Female,2000,16.66,8400,29000
Female,2000,21.94,14000,55000
Female,2001,55.03,3100,9300
Female,2001,7.44,13000,57000
Female,2001,36.26,3900,12000
Female,2001,0.02,100,100
Female,2001,14.33,8100,34000
Female,2001,0.51,100,100
Female,2001,18.41,17000,45000
Female,2001,14.73,1500,4700
Female,2001,4.1,2300,9200
Female,2001,0.18,100,500
Female,2001,39.71,90000,250000
Female,2001,1.95,760,2400
Female,2001,0.13,200,500
Female,2001,8.32,10000,53000
Female,2001,5.81,10000,39000
Female,2001,15.7,8200,29000
Female,2001,19.9,13000,54000
Female,2002,52.91,3000,9100
Female,2002,6.74,12000,59000
Female,2002,32.87,3600,11000
Female,2002,0.02,100,100
Female,2002,13.1,7800,35000
Female,2002,0.55,100,100
Female,2002,18.09,17000,47000
Female,2002,13.19,1400,4500
Female,2002,3.59,2100,9300
Female,2002,0.17,100,500
Female,2002,38.9,89000,250000
Female,2002,1.8,730,2600
Female,2002,0.13,200,530
Female,2002,8.11,10000,55000
Female,2002,5.46,10000,40000
Female,2002,14.95,8000,30000
Female,2002,18.31,13000,54000
Female,2003,51.46,2900,8900
Female,2003,6.16,11000,61000
Female,2003,30,3300,11000
Female,2003,0.02,100,100
Female,2003,12.04,7700,37000
Female,2003,0.55,100,100
Female,2003,17.57,17000,49000
Female,2003,11.98,1300,4400
Female,2003,2.7,1600,9000
Female,2003,0.16,100,500
Female,2003,37.35,86000,250000
Female,2003,1.78,760,2800
Female,2003,0.13,500,570
Female,2003,7.84,10000,58000
Female,2003,5.18,9800,42000
Female,2003,14.23,7800,31000
Female,2003,16.87,12000,54000
Female,2004,50.41,2900,8900
Female,2004,5.74,11000,65000
Female,2004,27.62,3000,10000
Female,2004,0.02,100,100
Female,2004,11.02,7400,38000
Female,2004,0.53,100,100
Female,2004,17.12,17000,52000
Female,2004,11.17,1200,4400
Female,2004,2.3,1400,8700
Female,2004,0.14,100,500
Female,2004,35.65,83000,250000
Female,2004,1.74,780,3000
Female,2004,0.13,500,610
Female,2004,7.61,10000,59000
Female,2004,4.88,9500,43000
Female,2004,13.46,7600,32000
Female,2004,15.78,11000,54000
Female,2005,50.59,2900,9000
Female,2005,5.42,10000,68000
Female,2005,26.22,2800,10000
Female,2005,0.03,100,100
Female,2005,10.09,7200,40000
Female,2005,0.51,100,100
Female,2005,16.61,17000,54000
Female,2005,10.31,1200,4500
Female,2005,2.03,1200,8600
Female,2005,0.12,100,500
Female,2005,34.28,80000,250000
Female,2005,1.7,810,3300
Female,2005,0.11,200,620
Female,2005,7.49,10000,61000
Female,2005,4.72,9400,45000
Female,2005,12.95,7500,33000
Female,2005,14.74,10000,55000
Female,2006,50.19,2900,9200
Female,2006,5.21,10000,72000
Female,2006,24.88,2700,9900
Female,2006,0.03,100,100
Female,2006,9.19,6800,41000
Female,2006,0.48,100,100
Female,2006,16.39,18000,57000
Female,2006,9.55,1100,4700
Female,2006,1.88,1100,8500
Female,2006,0.1,100,500
Female,2006,33.08,77000,240000
Female,2006,1.62,810,3600
Female,2006,0.1,200,630
Female,2006,7.33,11000,63000
Female,2006,4.52,9200,47000
Female,2006,12.51,7400,34000
Female,2006,13.95,9700,56000
Female,2007,49.48,2900,9500
Female,2007,4.93,9700,75000
Female,2007,25.25,2700,10000
Female,2007,0.03,100,100
Female,2007,8.55,6500,42000
Female,2007,0.44,100,100
Female,2007,16.28,19000,62000
Female,2007,9.08,1100,5000
Female,2007,1.79,1000,8600
Female,2007,0.09,100,500
Female,2007,31.77,73000,240000
Female,2007,1.6,840,4000
Female,2007,0.1,200,650
Female,2007,7.41,11000,64000
Female,2007,4.33,9000,48000
Female,2007,12.19,7400,36000
Female,2007,13.27,9200,56000
Female,2008,43.74,2600,9600
Female,2008,4.82,9600,78000
Female,2008,24.87,2700,10000
Female,2008,0.04,100,100
Female,2008,8.08,6300,43000
Female,2008,0.4,100,100
Female,2008,16.15,20000,66000
Female,2008,8.59,1000,5200
Female,2008,1.72,900,8700
Female,2008,0.07,100,500
Female,2008,30.23,70000,230000
Female,2008,1.61,890,4300
Female,2008,0.09,200,690
Female,2008,7.34,11000,66000
Female,2008,4.17,8900,50000
Female,2008,11.61,7300,37000
Female,2008,12.87,8800,57000
Female,2009,38.19,2300,9300
Female,2009,4.68,9400,81000
Female,2009,24.09,2500,11000
Female,2009,0.04,100,200
Female,2009,7.76,6100,44000
Female,2009,0.37,100,100
Female,2009,16.04,21000,71000
Female,2009,8.36,1000,5500
Female,2009,1.67,830,8800
Female,2009,0.05,100,500
Female,2009,29.09,67000,230000
Female,2009,1.61,930,4700
Female,2009,0.09,200,740
Female,2009,7.07,11000,67000
Female,2009,4.16,9000,52000
Female,2009,11.44,7400,38000
Female,2009,12.47,8500,57000
Female,2010,31.11,1900,8800
Female,2010,4.48,9200,83000
Female,2010,22.36,2300,11000
Female,2010,0.05,100,200
Female,2010,7.52,6000,45000
Female,2010,0.35,100,100
Female,2010,15.91,21000,76000
Female,2010,8.21,990,5800
Female,2010,1.53,730,8900
Female,2010,0.04,100,500
Female,2010,27.58,63000,230000
Female,2010,1.61,960,5000
Female,2010,0.08,200,780
Female,2010,6.75,11000,67000
Female,2010,4.11,9100,53000
Female,2010,11.11,7400,39000
Female,2010,11.85,8100,58000
Female,2011,21.83,1300,7800
Female,2011,4.14,8600,83000
Female,2011,21.13,2200,11000
Female,2011,0.06,100,200
Female,2011,7.21,5800,46000
Female,2011,0.3,100,100
Female,2011,15.55,21000,80000
Female,2011,7.69,930,6100
Female,2011,1.43,670,9000
Female,2011,0.03,100,500
Female,2011,25.84,58000,220000
Female,2011,1.62,1000,5300
Female,2011,0.08,200,840
Female,2011,6.38,11000,67000
Female,2011,4.06,9200,55000
Female,2011,10.83,7500,40000
Female,2011,10.91,7400,57000
Female,2012,24.54,1500,7400
Female,2012,3.81,8100,82000
Female,2012,19.76,2000,11000
Female,2012,0.07,100,500
Female,2012,6.79,5600,46000
Female,2012,0.27,100,100
Female,2012,15.17,22000,84000
Female,2012,7.21,870,6300
Female,2012,1.3,620,9100
Female,2012,0.03,100,500
Female,2012,23.82,54000,220000
Female,2012,1.64,1000,5500
Female,2012,0.08,200,890
Female,2012,6.02,11000,67000
Female,2012,4.02,9400,56000
Female,2012,10.52,7500,41000
Female,2012,9.98,6800,56000
Female,2013,26.95,1600,7300
Female,2013,3.59,7800,81000
Female,2013,18.27,1800,11000
Female,2013,0.08,200,500
Female,2013,6.33,5300,47000
Female,2013,0.25,100,100
Female,2013,14.75,22000,87000
Female,2013,6.82,820,6400
Female,2013,1.18,580,9200
Female,2013,0.03,100,500
Female,2013,22.03,49000,220000
Female,2013,1.66,1100,5700
Female,2013,0.07,200,950
Female,2013,5.48,10000,66000
Female,2013,3.76,9000,57000
Female,2013,10.3,7600,42000
Female,2013,9.36,6500,55000
Female,2014,27.99,1600,7500
Female,2014,3.36,7500,79000
Female,2014,16.81,1700,11000
Female,2014,0.09,200,500
Female,2014,5.96,5200,47000
Female,2014,0.24,100,100
Female,2014,14.1,21000,89000
Female,2014,6.21,750,6600
Female,2014,1.1,570,9400
Female,2014,0.02,100,500
Female,2014,20.62,45000,210000
Female,2014,1.66,1100,5900
Female,2014,0.07,200,1000
Female,2014,4.92,9500,66000
Female,2014,3.61,8900,58000
Female,2014,9.97,7700,43000
Female,2014,8.67,6100,53000
Female,2015,26.41,1500,7700
Female,2015,3.07,7000,77000
Female,2015,15.36,1500,10000
Female,2015,0.1,200,500
Female,2015,5.62,5000,47000
Female,2015,0.24,100,100
Female,2015,13.4,20000,91000
Female,2015,6.1,730,6700
Female,2015,1.04,560,9500
Female,2015,0.02,100,500
Female,2015,19.16,42000,210000
Female,2015,1.65,1100,6000
Female,2015,0.07,200,1000
Female,2015,4.44,8900,65000
Female,2015,3.4,8700,59000
Female,2015,9.36,7500,43000
Female,2015,8.05,5700,52000
Female,2016,23.74,1300,7700
Female,2016,2.7,6300,75000
Female,2016,14.31,1400,10000
Female,2016,0.1,200,500
Female,2016,5.31,4900,47000
Female,2016,0.24,100,100
Female,2016,12.72,20000,91000
Female,2016,5.73,680,6700
Female,2016,0.96,550,9600
Female,2016,0.02,100,500
Female,2016,17.68,38000,210000
Female,2016,1.64,1100,6100
Female,2016,0.06,200,1100
Female,2016,4.14,8700,64000
Female,2016,3.24,8600,59000
Female,2016,8.76,7200,42000
Female,2016,7.47,5300,50000
Female,2017,19.99,1100,7600
Female,2017,2.42,5800,71000
Female,2017,13.26,1300,9500
Female,2017,0.11,200,500
Female,2017,4.88,4600,46000
Female,2017,0.26,100,100
Female,2017,11.94,19000,91000
Female,2017,5.57,660,6700
Female,2017,0.88,530,9500
Female,2017,0.02,100,500
Female,2017,16.01,34000,210000
Female,2017,1.67,1100,6100
Female,2017,0.06,200,1100
Female,2017,3.78,8200,64000
Female,2017,3.07,8400,59000
Female,2017,8.57,7400,42000
Female,2017,6.85,4900,49000
Female,2018,15.13,860,7200
Female,2018,2.15,5300,67000
Female,2018,12.51,1200,9200
Female,2018,0.11,200,500
Female,2018,4.45,4400,46000
Female,2018,0.27,100,100
Female,2018,11.22,18000,91000
Female,2018,5.12,600,6700
Female,2018,0.84,520,9400
Female,2018,0.03,100,500
Female,2018,14.18,30000,210000
Female,2018,1.68,1100,6200
Female,2018,0.06,200,1200
Female,2018,3.34,7500,63000
Female,2018,2.86,8200,59000
Female,2018,8.23,7300,42000
Female,2018,6.05,4400,48000
Female,2019,12.74,740,6900
Female,2019,2.08,5300,64000
Female,2019,12.03,1100,8800
Female,2019,0.12,200,500
Female,2019,4.03,4100,45000
Female,2019,0.27,100,100
Female,2019,10.59,18000,90000
Female,2019,4.76,560,6700
Female,2019,0.79,520,9200
Female,2019,0.02,100,500
Female,2019,12.84,27000,220000
Female,2019,1.68,1100,6200
Female,2019,0.06,200,1200
Female,2019,3.09,7200,62000
Female,2019,2.6,7700,57000
Female,2019,7.41,6800,42000
Female,2019,5.99,4400,48000
Male,1990,2.46,200,200
Male,1990,4.44,5000,9200
Male,1990,2.39,500,500
Male,1990,0.01,100,100
Male,1990,2.52,1200,2000
Male,1990,0.01,100,100
Male,1990,1.08,830,1500
Male,1990,1.92,200,500
Male,1990,0.92,500,560
Male,1990,0.05,100,100
Male,1990,0.73,1400,2000
Male,1990,0.58,200,500
Male,1990,0.02,100,100
Male,1990,1.91,1600,3900
Male,1990,3.15,4200,9300
Male,1990,9.7,3700,7900
Male,1990,18.97,9500,19000
Male,1991,4.28,200,500
Male,1991,5.06,6000,11000
Male,1991,3.29,500,530
Male,1991,0.01,100,100
Male,1991,2.74,1300,2300
Male,1991,0.01,100,100
Male,1991,1.35,1100,1900
Male,1991,2.63,500,500
Male,1991,1,500,630
Male,1991,0.06,100,100
Male,1991,1.32,2500,3700
Male,1991,0.67,500,500
Male,1991,0.03,100,100
Male,1991,1.68,1500,4100
Male,1991,3.27,4500,10000
Male,1991,9.53,3800,8700
Male,1991,19.56,10000,22000
Male,1992,6.55,500,500
Male,1992,5.38,6600,13000
Male,1992,4.39,500,750
Male,1992,0.01,100,100
Male,1992,2.87,1400,2600
Male,1992,0.01,100,100
Male,1992,1.65,1300,2400
Male,1992,3.48,500,540
Male,1992,1.06,500,690
Male,1992,0.07,100,100
Male,1992,2.24,4300,6600
Male,1992,0.73,500,500
Male,1992,0.03,100,100
Male,1992,1.55,1400,4800
Male,1992,3.3,4700,11000
Male,1992,9.17,3800,9100
Male,1992,18.65,9900,23000
Male,1993,9.03,500,690
Male,1993,5.2,6600,15000
Male,1993,5.62,610,1000
Male,1993,0.01,100,100
Male,1993,2.88,1400,3000
Male,1993,0.01,100,100
Male,1993,1.96,1600,3000
Male,1993,4.49,500,720
Male,1993,1.14,500,760
Male,1993,0.08,100,100
Male,1993,3.46,6800,11000
Male,1993,0.83,500,540
Male,1993,0.04,100,100
Male,1993,1.45,1400,6000
Male,1993,3.25,4800,12000
Male,1993,8.33,3500,9200
Male,1993,16.8,9200,23000
Male,1994,10.95,540,940
Male,1994,4.63,6200,15000
Male,1994,6.98,780,1300
Male,1994,0.01,100,100
Male,1994,2.83,1400,3300
Male,1994,0.02,100,100
Male,1994,2.3,1900,3600
Male,1994,5.49,500,930
Male,1994,1.07,500,800
Male,1994,0.09,100,100
Male,1994,4.8,9600,16000
Male,1994,0.88,500,600
Male,1994,0.05,100,200
Male,1994,1.41,1400,7800
Male,1994,3.12,4700,13000
Male,1994,7.86,3400,9100
Male,1994,14.64,8300,22000
Male,1995,11.97,620,1200
Male,1995,3.98,5500,15000
Male,1995,8.06,910,1600
Male,1995,0.01,100,100
Male,1995,2.72,1300,3800
Male,1995,0.04,100,100
Male,1995,2.64,2200,4300
Male,1995,6.29,550,1100
Male,1995,1.06,500,900
Male,1995,0.1,100,100
Male,1995,6.09,12000,22000
Male,1995,0.89,500,660
Male,1995,0.05,100,200
Male,1995,1.33,1400,10000
Male,1995,2.96,4700,13000
Male,1995,6.9,3100,8900
Male,1995,12.29,7300,21000
Male,1996,11.96,660,1300
Male,1996,3.25,4700,14000
Male,1996,8.82,1000,1900
Male,1996,0.01,100,100
Male,1996,2.52,1300,4400
Male,1996,0.07,100,100
Male,1996,2.93,2500,5100
Male,1996,6.71,600,1300
Male,1996,1.02,500,1100
Male,1996,0.1,100,100
Male,1996,7.08,14000,28000
Male,1996,0.91,500,730
Male,1996,0.06,100,200
Male,1996,1.3,1400,13000
Male,1996,2.8,4500,14000
Male,1996,6.25,2900,8800
Male,1996,10.42,6400,19000
Male,1997,11.43,660,1400
Male,1997,2.67,4000,14000
Male,1997,9.12,1000,2100
Male,1997,0.01,100,100
Male,1997,2.38,1200,5300
Male,1997,0.13,100,100
Male,1997,3.21,2800,5900
Male,1997,6.63,610,1500
Male,1997,0.92,500,1300
Male,1997,0.11,100,100
Male,1997,7.57,16000,33000
Male,1997,0.9,500,810
Male,1997,0.06,100,200
Male,1997,1.25,1400,16000
Male,1997,2.6,4300,15000
Male,1997,5.74,2700,8800
Male,1997,8.72,5500,18000
Male,1998,10.49,640,1400
Male,1998,2.22,3500,15000
Male,1998,8.83,1000,2200
Male,1998,0.01,100,100
Male,1998,2.2,1200,6500
Male,1998,0.23,100,100
Male,1998,3.45,3100,6700
Male,1998,6.21,580,1500
Male,1998,0.84,500,1700
Male,1998,0.11,100,200
Male,1998,8.01,18000,38000
Male,1998,0.89,500,900
Male,1998,0.06,100,200
Male,1998,1.2,1300,19000
Male,1998,2.39,4100,15000
Male,1998,5.3,2600,9200
Male,1998,7.62,5000,18000
Male,1999,9.7,610,1400
Male,1999,1.92,3100,16000
Male,1999,8.35,960,2200
Male,1999,0.01,100,100
Male,1999,2.02,1100,8000
Male,1999,0.34,100,100
Male,1999,3.56,3200,7500
Male,1999,5.57,530,1500
Male,1999,0.79,500,2200
Male,1999,0.11,100,200
Male,1999,8.3,19000,42000
Male,1999,0.88,500,1000
Male,1999,0.07,100,500
Male,1999,1.17,1400,22000
Male,1999,2.25,3900,16000
Male,1999,4.97,2500,9800
Male,1999,6.65,4500,19000
Male,2000,8.86,560,1300
Male,2000,1.69,2800,19000
Male,2000,7.63,880,2200
Male,2000,0.01,100,100
Male,2000,1.83,1000,9800
Male,2000,0.45,100,100
Male,2000,3.68,3400,8400
Male,2000,4.97,500,1500
Male,2000,0.72,500,2700
Male,2000,0.1,100,200
Male,2000,8.46,20000,46000
Male,2000,0.84,500,1100
Male,2000,0.07,100,500
Male,2000,1.14,1400,25000
Male,2000,2.1,3700,18000
Male,2000,4.63,2400,11000
Male,2000,5.89,4100,20000
Male,2001,8.39,530,1300
Male,2001,1.5,2600,23000
Male,2001,6.8,790,2200
Male,2001,0.01,100,100
Male,2001,1.64,950,12000
Male,2001,0.52,100,100
Male,2001,3.7,3500,9300
Male,2001,4.46,500,1500
Male,2001,0.66,500,3200
Male,2001,0.09,100,200
Male,2001,8.39,20000,50000
Male,2001,0.83,500,1300
Male,2001,0.07,200,500
Male,2001,1.11,1400,28000
